Plant,Dest. Desc.,Final Destination,MODE,Distance in KM,Direct Road Freight,Per Km Price,Proposed Price,Proposed Price /KM,Diff B/W Old And Propose Rate,Final_Price
1110,KAKINADA,S000000087,LOR,1540.0,4575,2.970779220779221,5215.5,3.3866883116883115,640.5,6633.75
1110,Kanpur Dehat,N000000201,LOR,1580.0,3500,2.2151898734177213,3990.0,2.5253164556962027,490.0,5075.0
1110,KANPUR DEPO 2,N000001162,LOR,1505.0,3500,2.3255813953488373,3990.0,2.6511627906976742,490.0,5075.0
1110,KANPUR/KANPUR DEHAT,N000000041,LOR,1580.0,3500,2.2151898734177213,3990.0,2.5253164556962027,490.0,5075.0
1110,KARNAL,N000000043,LOR,1460.0,3400,2.328767123287671,3876.0,2.654794520547945,476.0,4930.0
1110,KASGANJ,N000000139,LOR,1405.0,3400,2.419928825622776,3876.0,2.7587188612099642,476.0,4930.0
1110,KATHUA,N000000104,LOR,1810.0,4000,2.2099447513812156,4560.0,2.5193370165745854,560.0,5800.0
1110,KHALAPUR,W000000026,LOR,970.0,2650,2.731958762886598,3021.0,3.1144329896907217,371.0,3842.5
1110,KOLHAPUR,W000000028,LOR,1290.0,3375,2.616279069767442,3847.5,2.9825581395348837,472.5,4893.75
1110,KOTA,N000000044,LOR,970.0,2225,2.2938144329896906,2536.5,2.6149484536082475,311.5,3226.25
1110,KOTPUTLI,N000000130,LOR,1175.0,2775,2.3617021276595747,3163.5,2.6923404255319148,388.5,4023.75
1110,KURNOOL,S000000025,LOR,1783.0,4375,2.4537296690970276,4987.5,2.7972518227706114,612.5,6343.75
1110,LAKADIA,W000001183,LOR,438.6,640,1.459188326493388,729.6,1.6634746922024624,89.60000000000002,928.0
1110,LUCKNOW,N000000046,LOR,1610.0,3750,2.329192546583851,4275.0,2.6552795031055902,525.0,5437.5
1110,LUDHIANA,N000000047,LOR,1550.0,3500,2.2580645161290325,3990.0,2.574193548387097,490.0,5075.0
1110,MAHAD,W000000030,LOR,1075.0,2875,2.6744186046511627,3277.5,3.0488372093023255,402.5,4168.75
1110,MALANPUR,W000000032,LOR,1330.0,3300,2.481203007518797,3762.0,2.8285714285714287,462.0,4785.0
1110,MEGHNAGAR,W000000084,LOR,732.0,2150,2.9371584699453552,2451.0,3.348360655737705,301.0,3117.5
1110,MOOSAPET,S000000102,LOR,1600.0,4025,2.515625,4588.5,2.8678125,563.5,5836.25
1110,MUNDRA,W000000065,LOR,472.0,1025,2.1716101694915255,1168.5,2.475635593220339,143.5,1486.25
1110,MUNDRA,W000000065,LOR,472.0,1050,2.2245762711864407,1197.0,2.5360169491525424,147.0,1522.5
1110,NAGALAPALLI DEPOT,S000001169,LOR,1600.0,4025,2.515625,4588.5,2.8678125,563.5,5836.25
1110,NAGAUR,N000000061,LOR,970.0,2150,2.216494845360825,2451.0,2.52680412371134,301.0,3117.5
1110,NAGDA,W000000037,LOR,850.0,2525,2.9705882352941178,2878.5,3.386470588235294,353.5,3661.25
1110,NAGPUR,W000000038,LOR,1290.0,3150,2.441860465116279,3591.0,2.7837209302325583,441.0,4567.5
1110,NASIK,W000000039,LOR,860.0,2350,2.7325581395348837,2679.0,3.1151162790697673,329.0,3407.5
1110,PAITHAN,W000000042,LOR,965.0,2475,2.564766839378238,2821.5,2.9238341968911916,346.5,3588.75
1110,PALI,N000000057,LOR,760.0,2025,2.664473684210526,2308.5,3.0375,283.5,2936.25
1110,PATNA,E000000038,LOR,1500.0,5000,3.3333333333333335,5700.0,3.8,700.0,7250.0
1110,PIPAVAV DEPOT D1,W000001180,LOR,148.0,465,3.141891891891892,530.1,3.5817567567567568,65.10000000000002,674.25
1110,PIPAVAV DEPOT D2,W000001174,LOR,130.0,465,3.576923076923077,530.1,4.077692307692308,65.10000000000002,674.25
1110,PITHAMPUR,W000000100,LOR,796.0,2375,2.9836683417085426,2707.5,3.4013819095477387,332.5,3443.75
1110,PUNE,W000000044,LOR,1060.0,3125,2.94811320754717,3562.5,3.3608490566037736,437.5,4531.25
1110,RAIPUR,E000000041,LOR,1570.0,3550,2.261146496815287,4047.0,2.577707006369427,497.0,5147.5
1110,ROHA,W000000047,LOR,1022.0,2775,2.7152641878669277,3163.5,3.0954011741682974,388.5,4023.75
1110,ROHTAK,N000000069,LOR,1350.0,3250,2.4074074074074074,3705.0,2.7444444444444445,455.0,4712.5
1110,ROORKEE,E000000047,LOR,1510.0,3600,2.384105960264901,4104.0,2.717880794701987,504.0,5220.0
1110,RUDRAPUR,E000000057,LOR,1560.0,3700,2.371794871794872,4218.0,2.703846153846154,518.0,5365.0
1110,SATARA,W000000051,LOR,1160.0,3175,2.7370689655172415,3619.5,3.120258620689655,444.5,4603.75
1110,SATNA,W000000083,LOR,1442.0,3850,2.6699029126213594,4389.0,3.0436893203883497,539.0,5582.5
1110,SHOLAPUR,W000000052,LOR,1300.0,3175,2.4423076923076925,3619.5,2.7842307692307693,444.5,4603.75
1110,SILVASSA,W000000012,LOR,770.0,1530,1.9870129870129871,1744.2,2.265194805194805,214.20000000000005,2218.5
